ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,idx_inicio,idx_fim
LINK-USD,1h,OCOI,2024-11-20 04:00:00,2024-11-21 21:00:00,41,60,2024-11-21 03:00:00,14.07,12296,12337
LINK-USD,1h,OCOI,2024-11-14 15:00:00,2024-11-15 16:00:00,25,60,2024-11-15 05:00:00,12.96,12163,12188
LINK-USD,1h,OCO,2024-07-20 21:00:00,2024-07-23 09:00:00,60,60,2024-07-21 22:00:00,14.90,9361,9421
LINK-USD,1h,OCO,2024-06-19 07:00:00,2024-06-21 11:00:00,52,60,2024-06-20 11:00:00,14.68,8603,8655
LINK-USD,1h,OCO,2024-05-28 23:00:00,2024-05-30 02:00:00,27,60,2024-05-29 13:00:00,19.08,8091,8118
LINK-USD,1h,OCO,2024-03-22 20:00:00,2024-03-24 12:00:00,40,60,2024-03-23 11:00:00,18.39,6480,6520
LINK-USD,1h,OCOI,2024-03-17 01:00:00,2024-03-17 13:00:00,12,60,2024-03-17 07:00:00,17.74,6341,6353
LINK-USD,1h,OCOI,2024-03-15 05:00:00,2024-03-15 21:00:00,16,60,2024-03-15 09:00:00,19.18,6297,6313
LINK-USD,1h,OCO,2024-03-14 02:00:00,2024-03-14 17:00:00,15,60,2024-03-14 12:00:00,21.57,6270,6285
LINK-USD,1h,OCO,2024-03-02 07:00:00,2024-03-03 16:00:00,33,60,2024-03-02 17:00:00,21.46,5987,6020
LINK-USD,1h,OCO,2024-02-17 22:00:00,2024-02-19 19:00:00,45,60,2024-02-18 22:00:00,20.22,5666,5711
LINK-USD,1h,OCO,2024-01-23 16:00:00,2024-01-25 00:00:00,32,60,2024-01-24 11:00:00,14.32,5060,5092
LINK-USD,1h,OCO,2024-01-01 01:00:00,2024-01-03 06:00:00,53,60,2024-01-02 09:00:00,15.99,4517,4570
LINK-USD,1h,OCO,2023-12-25 05:00:00,2023-12-26 12:00:00,31,60,2023-12-26 04:00:00,15.74,4353,4384
LINK-USD,1h,OCO,2023-12-05 18:00:00,2023-12-06 09:00:00,15,60,2023-12-06 01:00:00,16.01,3886,3901
LINK-USD,1h,OCO,2023-11-08 23:00:00,2023-11-09 23:00:00,24,60,2023-11-09 14:00:00,15.68,3243,3267
LINK-USD,1wk,OCO,2024-02-12 00:00:00,2024-03-25 00:00:00,6,10080,2024-03-04 00:00:00,21.13,326,332
LINK-USD,1wk,OCO,2023-11-13 00:00:00,2023-12-25 00:00:00,6,10080,2023-12-04 00:00:00,16.04,313,319
LINK-USD,1wk,OCOI,2018-04-02 00:00:00,2018-12-10 00:00:00,36,10080,2018-07-16 00:00:00,0.20,20,56
LINK-USD,4h,OCOI,2025-06-18 16:00:00,2025-06-25 16:00:00,42,240,2025-06-22 16:00:00,11.34,4337,4379
LINK-USD,4h,OCOI,2025-03-26 20:00:00,2025-04-02 08:00:00,39,240,2025-03-31 08:00:00,13.21,3834,3873
LINK-USD,4h,OCOI,2025-01-31 20:00:00,2025-02-04 08:00:00,21,240,2025-02-03 04:00:00,18.55,3510,3531
